Store Name,number,streetaddr,strcity,strstate,zipcode,phone-number,Longitude,Latitude
"Walmart Supercenter - Vidalia , Gas/Diesel,",#1106,4283 Carter St,Vidalia,LA,71373,(318) 336-8996,-91.46254,31.576605
"Walmart - East Wareham ,",#2095,3005 Cranberry Hwy,East Wareham,MA,02538,(508) 295-8890,-70.663175,41.758403
"Walmart Supercenter - Fall River ,",#3560,638 Quequechan St; Hwy 24 Exit 1,Fall River,MA,02721,(508) 730-2677,-71.141175,41.686018
"Walmart Supercenter - Leicester,",#3409,20 Soojiians Dr,Leicester,MA,01524,(508) 892-9461,-71.936636,42.249378
"Walmart Supercenter - North Adams ,",#1984,1414 Curran Hwy,North Adams,MA,01247,(413) 664-4004,-73.107832,42.663673
"Walmart Supercenter - Raynham,",#5448,160 Broadway; I-495 Exit 8,Raynham,MA,02767,(508) 692-6046,-71.084543,41.93435
"Walmart - Teaticket,",#3561,137 Teaticket Hwy,Teaticket,MA,02536,(508) 540-8995,-70.595221,41.560655
"Walmart Supercenter - Worcester,",#4387,25 Tobias Boland Way,Worcester,MA,01607,(774) 314-3157,-71.791364,42.233042
"Walmart Supercenter - Cockeysville ,",#2577,1 Frankel Way,Cockeysville,MD,21030,(410) 628-0980,-76.637667,39.466079
"Walmart - Columbia,",#5228,6405 Dobbin Rd,Columbia,MD,21045,(410) 740-2448,-76.818725,39.195889
"Walmart Supercenter - Denton,",#3843,610 Legion Rd,Denton,MD,21629,(410) 479-0278,-75.821608,38.87553
"Walmart - Dunkirk,",#5345,10600 Towne Center Blvd,Dunkirk,MD,20754,(410) 257-2610,-76.65813,38.722445
"Walmart Supercenter - Fallston,",#3780,303 Falston Blvd,Falston,MD,21047,(443) 686-7037,-76.385311,39.497661
"Walmart - Landover Hills,",#5129,6210 Annapolis Rd,Landover Hills,MD,20784,(301) 773-7848,-76.90731,38.942164
"Walmart Supercenter - Randallstown,",#3804,8730 Liberty Rd,Randallstown,MD,21133,(443) 576-3132,-76.781985,39.365315
"Walmart Supercenter - Skowhegan,",#2143,60 Fairgrounds Market Place,Skowhegan,ME,04976,(207) 474-2126,-69.73099,44.779602
"Walmart Supercenter - Belleville,",#2872,10562 Belleville Rd,Belleville,MI,48111,(734) 697-2078,-83.487219,42.225752
"Walmart Supercenter - Canton,",#5761,4555 Michigan Ave,Canton,MI,48188,(734) 985-9413,-83.488924,42.270016
"Walmart Supercenter - Clinton Township,",#4660,18400 Hall Rd,Clinton Township,MI,48038,(586) 263-7196,-82.937614,42.626991
"Walmart Supercenter - Dearborn,",#4383,5851 Mercury Dr,Dearborn,MI,48126,(313) 441-0194,-83.209206,42.330162
"Walmart Supercenter - Grand Haven , Gas/Diesel,",#5386,14700 Hwy 31,Grand Haven,MI,49417,(616) 844-3074,-86.217784,43.035574
"Walmart Supercenter - Hartland Township,",#4584,10400 Highland Rd,Hartland,MI,48353,(810) 632-0039,-83.745814,42.631504
"Walmart Supercenter - Ironwood,",#5444,10305 Country Club Rd,Ironwood,MI,49938,(906) 932-0713,-90.126837,46.47103
"Walmart Supercenter - Muskegon,",#3876,3285 Henry St,Muskegon,MI,49441,(231) 739-4710,-86.265287,43.192904
"Walmart Supercenter - Novi,",#5893,26090 Ingersol Dr,Novi,MI,48375,(248) 277-4092,-83.473598,42.482165
"Walmart Supercenter - Rochester Hills,",#2354,2500 S. Adams Rd.,Rochester Hills,MI,48309,(248) 853-0433,-83.19892,42.642715
"Walmart Supercenter - Saline ,",#5472,7000 East Michigan St,Saline,MI,48176,(734) 944-1053,-83.735648,42.188317
"Walmart Supercenter - Southgate,",#5842,14900 Dix Toledo Rd,Southgate,MI,48195,(734) 286-9594,-83.209957,42.201627
"Walmart Supercenter - Sterling Heights,",#2559,33201 Van Dyke Ave.,Sterling Heights,MI,48312,(586) 939-7208,-83.030586,42.538373
"Walmart Supercenter - Three Rivers,",#3791,101 S Tolbert Dr,Three Rivers,MI,49093,(269) 273-7820,-85.654857,41.941804
"Walmart Supercenter - Warren,",#4424,29176 Van Dyke Ave; I-696 Exit 23,Warren,MI,48093,(586) 467-0258,-83.025897,42.507213
"Walmart - Blaine,",#5976,11505 Ulysses ST NE,Blaine,MN,55434,(763) 354-1979,-93.23754,45.180114
"Walmart Supercenter - Burnsville,",#5977,12200 River Ridge Blvd,Burnsville,MN,55337,(952) 356-0018,-93.284733,44.781471
"Walmart Supercenter - Cottage Grove ,",#2448,9300 E Point Douglas Rd,Cottage Grove,MN,55016,(651) 846-2831,-92.91644,44.808628
"Walmart Supercenter - Crookston,",#3758,1930 Sahlstrom Dr,Crookston,MN,56716,(218) 281-2970,-96.608929,47.791535
"Walmart Supercenter - Fairmont,",#3806,1250 Goemann Rd,Fairmont,MN,56031,(507) 235-2500,-94.444934,43.682922
"Walmart Supercenter - Lakeville,",#5992,20710 Keokuk Ave,Lakeville,MN,55044,(612) 354-5927,-93.297355,44.649586
"Walmart Supercenter - Litchfield,",#4374,2301 Frontage Rd Apt E,Litchfield,MN,55355,(320) 693-9552,-94.49046,45.12056
"Walmart Supercenter - New Ulm,",#3760,1720 Westridge Rd,New Ulm,MN,56073,(507) 350-0900,-94.504886,44.327533
"Walmart Supercenter - Park Rapids,",#4244,1303 Charles St,Park Rapids,MN,56470,(218) 732-0339,-95.0336,46.9246
"Walmart Supercenter - Princeton,",#3102,300 21st St Ave N,Princeton,MN,55371,(763) 389-7821,-93.602805,45.572824
"Walmart Supercenter - Roseville,",#3404,1960 Twin Lakes Pkwy,Roseville,MN,55113,(612) 788-1303,-93.2196,45.037508
"Walmart Supercenter - Saint Cloud,",#1633,21 Country Rd 120,Saint Cloud,MN,56301,(320) 259-1527,-94.1886,45.59266
"Walmart Supercenter - Thief River Falls,",#3761,1755 Hwy 59 SE,Thief River Falls,MN,56701,(218) 683-3643,-96.1507,48.1118
"Walmart Supercenter - Wadena,",#4246,100 Juniper Ave NW,Wadena,MN,56482,(218) 631-1068,-95.126797,46.452781
"Walmart Supercenter - Bowling Green,",#0145,3 Town Center Dr,Bowling Green,MO,63334,(573) 324-0040,-91.181711,39.331104
"Walmart Supercenter - Branson,",#4381,1101 Branson Hills Pkwy,Branson,MO,65616,(417) 334-2137,-93.228829,36.670168
"Walmart Supercenter - Bridgeton,",#1188,11900 St Charles Rock Rd; I-270 Exit 234,Bridgeton,MO,63044,(314) 291-2300,-90.418718,38.745359
"Walmart Supercenter - Columbia,",#0451,1201 Grindstone Pkwy,Columbia,MO,65201,(573) 449-0815,-92.323633,38.912265
"Walmart Supercenter - Columbia  ,",#0080,3001 W BRdway,Columbia,MO,65203,(573) 445-9506,-92.382434,38.956067
"Walmart Supercenter - High Ridge,",#0313,2700 Ridge Point Dr,High Ridge,MO,63049,(636) 375-3201,-90.523233,38.462485
"Walmart Supercenter - Jefferson City,",#5477,401 Supercenter Dr,Jefferson City,MO,65101,(573) 635-3535,-92.119038,38.541293
"Wm Nbrhd Mkt - Joplin,",#4057,1600 E 7th St,Joplin,MO,64801,(417) 680-2022,-94.496473,37.083067
"Walmart Supercenter - Manchester,",#1177,201 Highland Boulevard Dr,Manchester,MO,63011,(636) 256-0697,-90.506504,38.595515
"Walmart Supercenter - Raytown,",#1094,10300 Blue Ridge Blvd (hwy 350),Raytown,MO,64133,(816) 358-7790,-94.480405,39.001336
"Wm Nbrhd Mkt - Springfield,",#5693,1320 S Glenstone,Springfield,MO,65804,(417) 520-0089,-93.260558,37.189433
"Wm Nbrhd Mkt - Springfield,",#5692,3150 West Republic Rd,Springfield,MO,65810,(417) 520-3144,-93.343101,37.138112
"Wm Nbrhd Mkt - Springfield,",#3062,3536 W Mount Vernon St,Springfield,MO,65802,(417) 616-2669,-93.35002,37.20442
"Wm Nbrhd Mkt - Springfield,",#3111,545 El Camino Alto Dr,Springfield,MO,65802,(417) 414-6621,-93.298868,37.13142
"Walmart Supercenter - Canton,",#3059,244 Feather Ln; I-55 exit 118/119,Canton,MS,39046,(601) 761-6000,-90.070132,32.601162
"Walmart Supercenter - Brandon,",#2755,5341 Lakeland Dr,Flowood,MS,39232,(601) 992-8898,-90.024069,32.35229
"Wm Nbrhd Mkt - Horn Lake , Gas/Diesel,",#3593,2401 Goodman Rd,Horn Lake,MS,38637,(662) 342-5929,-90.032548,34.961666
"Walmart Supercenter - Havre,",#4247,3510 Hwy 2 W,Havre,MT,59501,(406) 262-9162,-109.735501,48.554873
"Walmart Supercenter - Apex,",#3889,3151 Apex Peakway,Apex,NC,27502,(919) 362-3737,-78.84382,35.714986
"Walmart Express - Ayden,",#3080,182 NC 102 W,Ayden,NC,28513,(252) 746-3092,-77.438719,35.476412
"Walmart Supercenter - Burlington (N) , Gas/Diesel,",#3612,530 So. Graham-hopedale Rd,Burlington,NC,27217,(336) 226-1819,-79.40425,36.091467
"Walmart Express - Carthage,",#2500,945 Monroe St,Carthage,NC,28327,(910) 947-6670,-79.403837,35.340743
"Wm Nrbhd Mkt - Cary,",#4157,2750 Hwy 55,Cary,NC,27519,(919) 335-0051,-78.870471,35.786292
"Wm Nbrhd Mkt - Cary,",#2414,973 N Harrisin Ave,Cary,NC,27513,(919) 337-9780,-78.784523,35.801434
"Walmart Supercenter - Chapel Hill,",#3182,12500  Hwy 15/501 N,Chapel Hill,NC,27517,(919) 357-9039,-79.081668,35.860148
"Walmart - Charlotte (E),",#1666,3850 E Independence Blvd,Charlotte,NC,28205,(704) 535-3708,-80.77524,35.20017
"Wm Nbrhd Mkt - Charlotte,",#4149,7421 E  Independence Blvd,Charlotte,NC,28227,(704) 595-4010,-80.736663,35.161425
"Walmart Supercenter - Cherryville , Gas/Diesel,",#4594,2505 Lincolnton Hwy,Cherryville,NC,28021,(704) 435-4449,-81.340007,35.400181
"Walmart Express - Coats,",#3249,511 N McKinley St,Coats,NC,27521,(910) 230-0102,-78.673711,35.41487
"Walmart Supercenter - Denver,",#4274,7131 Hwy #73,Denver,NC,28037,(704) 827-8911,-81.002522,35.451095
"Walmart Supercenter - Durham,",#4369,1010 Martin Luther King Jr Pkwy,Durham,NC,27713,(919) 213-4225,-78.924785,35.950375
"Walmart Supercenter - Fayetteville ,",#1238,1550 Skibo Rd & Morganton Rd,Fayetteville,NC,28303,(910) 868-6434,-78.956143,35.081331
"Walmart Supercenter - Goldsboro,",#4564,2908 Us Hwy 70 West,Goldsboro,NC,27530,(919) 736-7332,-78.062581,35.430917
"Walmart Supercenter - Granite Falls,",#4410,4780 Hickory Blvd,Granite Falls,NC,28630,(828) 396-3170,-81.394381,35.780313
"Walmart Supercenter - Greensboro (NE), Gas/Diesel,",#3658,2107 Pyramid Village Blvd,Greensboro,NC,27405,(336) 375-5445,-79.755562,36.10997
"Walmart Supercenter - Havelock,",#3825,566 Hwy 70 West,Havelock,NC,28532,(252) 444-2055,-76.937639,34.913738
"Wm Nbrhd Mkt - High Point,",#5013,4102 Precision Way,High Point,NC,27265,(336) 804-6018,-79.963225,36.028582
"Walmart Supercenter - Holly Springs,",#4458,7016 G.b. Alford Hwy,Holly Springs,NC,27540,(919) 557-9181,-78.833246,35.636647
"Walmart Supercenter - Huntersville,",#5879,11145 Bryton Town Center Dr; I-77 Exit 19,Huntersville,NC,28078,(704) 977-2040,-80.827279,35.371659
"Walmart Supercenter - Indian Trail,",#3700,2101 Younts Rd,Indian Trail,NC,28079,(704) 882-5566,-80.65082,35.078102
"Walmart Supercenter - Jacksonville,",#3864,561 Yopp Rd,Jacksonville,NC,28540,(910) 346-1889,-77.463908,34.750475
"Walmart Supercenter - Leland , Gas/Diesel,",#4273,1112 New Pointe Blvd,Leland,NC,28451,(910) 383-1769,-78.023923,34.21109
"Walmart Express - Liberty,",#6997,632 W Swannanoa Ave,Liberty,NC,27298,(336) 622-1011,-79.583378,35.851895
"Walmart Supercenter - Locust,",#5747,1876 Main St,Locust,NC,28097,(704) 781-0426,-80.458394,35.256326
"Walmart Express - Midway,",#3121,189 Hickory Tree Rd,Midway,NC,27107,(336) 764-8152,-80.223135,35.966469
"Walmart Supercenter - Morrisville, Gas,",#4250,1001 Shiloh Glen Dr,Morrisville,NC,27560,(919) 474-2285,-78.84656,35.86594
"Walmart Supercenter - Mount Olive , Gas/Diesel,",#3701,308 Hwy 55 W,Mount Olive,NC,28365,(919) 658-1701,-78.070836,35.211203
"Walmart Supercenter - Nashville,",#4459,1205 Eastern Ave,Nashville,NC,27856,(252) 459-0020,-77.933939,35.968791
"Wm Nbrhd Mkt - New Bern,",#7218,2915 Neuse Blvd,New Bern,NC,28563,(252) 649-6052,-77.088628,35.125524
"Walmart Express - Oriental,",#7207,1400 B Broad St,Oriental,NC,28571,(252) 249-3004,-76.690643,35.038998
"Walmart Express - Pikeville, Gas,",#2573,303 S Goldsboro St,Pikeville,NC,27863,(919) 242-8710,-77.981483,35.493105
"Walmart Express - Stedman,",#5017,7670 Clinton Rd,Stedman,NC,29391,(910) 484-5040,-78.687197,35.01048
"Walmart Express - Princeton,",#3211,509 Dr. Donnie H Jones Blvd West,Princeton,NC,27569,(919) 936-0022,-78.16564,35.471345
"Walmart Supercenter - Raeford,",#5787,4545 Fayetteville Rd,Raeford,NC,28376,(910)683-6056,-79.175541,35.009733
"Walmart Supercenter - Raleigh,",#1372,4500 Fayetteville Rd,Raleigh,NC,27603,(919) 772-8751,-78.655126,35.719126
"Walmart Express - Red Springs,",#5015,908 E 4th Ave,Red  Springs,NC,28377,(910) 843-5030,-79.17455,34.811554
"Walmart Express - Richfield,",#3007,139 N Hwy 49,Richfield,NC,28137,(704) 463-0296,-80.265342,35.472929
"Walmart Express - Snow Hill,",#3037,905 SE 2nd St,Snow Hill,NC,28580,(252) 747-1084,-77.663505,35.444994
"Wm Nbrhd Mkt - Surf City,",#4087,420 Fun Center Dr,Surf City,NC,28445,(910) 803-6001,-77.564487,34.449187
"Walmart Supercenter - Waynesville,",#1663,135 Town Center Loop,Waynesville,NC,28786,(828) 456-4828,-83.01073,35.46588
"Walmart Supercenter - Winston Salem , Gas/Diesel,",#3626,3475 Pkwy Village Cr,Winston Salem,NC,27127,(336) 771-1011,-80.262707,36.02822
"Walmart Express - Yanceyville,",#3036,1593 Hwy 86 N,Yanceyville,NC,27379,(336) 694-1019,-79.35622,36.42541
"Walmart Supercenter - Zebulon,",#4499,841 East Gannon Ave,Zebulon,NC,27597,(919) 269-2221,-78.29636,35.82897
"Walmart Supercenter - Bismarck (N),",#3648,1400 Skyline Blvd,Bismarck,ND,58503,(701) 323-0530,-100.769279,46.857742
"Walmart Supercenter - Bismarck,",#1534,2717 Rock Island Place,Bismarck,ND,58503,(701) 223-3066,-100.74996,46.79175
"Walmart Supercenter - Bottineau,",#4569,912 11th St E,Bottineah,ND,58318,(701) 228-5276,-100.43259,48.819609
"Walmart Supercenter - Grand Forks,",#5806,5755 Gateway Dr; I-29 Exit 141,Grand Forks,ND,58203,(701) 620-6003,-97.115252,47.93183
"Walmart Supercenter - Wahpeton,",#3875,1625 Commerce Dr,Wahpeton,ND,58075,(701) 642-9086,-96.628682,46.283795
"Walmart Supercenter - Blair ,",#4568,1882 Holly St,Blair,NE,68008,(402) 533-8222,-96.141864,41.526537
"Walmart Supercenter - Crete,",#4322,1800 E 29th St,Crete,NE,68333,(402) 826-1002,-96.940444,40.640601
"Walmart Supercenter - Gretna,",#4600,11350 Wickersham Blvd,Gretna,NE,68028,(402)881-3530,-96.164709,41.142978
"Walmart - Lincoln,",#2432,2501 Grainger Pkwy,Lincoln,NE,68512,(402) 975-6171,-96.684468,40.730015
"Walmart Supercenter - Lincoln,",#3823,3400 N 85th St,Lincoln,NE,68507,(402) 466-0477,-96.603368,40.84877
"Walmart Supercenter - Nebraska City,",#4209,2101 S. 11th St,Nebraska City,NE,68410,(402) 874-9080,-95.857022,40.657754
"Wm Nbrhd Mkt - Omaha,",#4138,13105 Birch Dr,Omaha,NE,68164,(402) 686-2055,-96.117615,41.291153
"Walmart Supercenter - Omaha,",#4358,1606 S 72nd St,Omaha,NE,68124,(402) 393-9560,-96.025028,41.245199
"Wm Nbrhd Mkt - Omaha,",#3152,2451 N 90th St,Omaha,NE,68134,(402) 513-4030,-96.045644,41.280981
"Walmart Supercenter - Omaha,",#3151,5018 Ames Ave,Omaha,NE,68104,(402) 970-9301,-95.991518,41.300098
"Wm Nbrhd Mkt - Omaha,",#3172,5051 L St,Omaha,NE,68117,(402) 541-0820,-95.992054,41.211764
"Wm Nbrhd Mkt - Omaha,",#3153,6710 South 167th St,Omaha,NE,68135,(402) 609-5703,-96.168662,41.192888
"Walmart Supercenter - Papillion,",#1671,8525 S. 71st St. Plaza,Papillion,NE,68128,(402) 597-8977,-96.021777,41.175
"Walmart Supercenter - Woodsville,",#4389,4901 Dartmouth College Hwy,Woodsville,NH,03785,(603) 747-8250,-72.0257,44.1416
"Walmart Supercenter - Bayonne,",#5867,500 Bayonne Crossing Way,Bayonne,NJ,07002,(201) 620-6137,-74.105874,40.661479
"Walmart - Bridgeton,",#5384,1130 Hwy 77,Bridgeton,NJ,08302,(856) 453-0418,-75.207353,39.466867
"Walmart Supercenter - Flemington,",#2294,150 Rte 31,Flemington,NJ,08822,(908) 788-6769,-74.853876,40.526805
"Walmart Supercenter - Freehold,",#3236,326 West Main St,Freehold,NJ,07728,(732) 780-3048,-74.294399,40.243166
"Walmart Supercenter - Garfield,",#5752,174 Passaic St,Garfield,NJ,07026,(973)330-3550,-74.099707,40.867153
"Walmart Supercenter - Lanoka Harbor,",#5414,580 Route 9 North,Lanoka Harbor,NJ,08734,(609) 242-4231,-74.178283,39.858226
"Walmart Supercenter - North Bergen,",#3795,2100 88th St,North Bergen,NJ,07047,(201) 758-2810,-74.01491,40.812634
"Walmart Supercenter - Old Bridge,",#4153,2825 Route 18 S,Old Bridge,NJ,08857,(732) 955-0139,-74.316859,40.374677
"Walmart - Rio Grande,",#3337,3159 Route 9 South,Rio Grande,NJ,08242,(609) 465-2204,-74.870939,39.020358
"Walmart Supercenter - Somerdale,",#4456,1 Coopertown Blvd,Somerdale,NJ,08083,(856) 545-9052,-75.0225,39.855043
"Walmart Supercenter - Vineland,",#3339,1070 W Landis Ave.,Vineland,NJ,08360,(856) 205-9940,-75.047395,39.489132
"Walmart Supercenter - Williamstown,",#3774,1840 S Blackhorse Pike,Williamstown,NJ,08094,(856) 629-2054,-74.962169,39.662737
"Walmart Supercenter - Woodbury,",#3422,2000 Clements Bridge Rd,Woodbury,NJ,08096,(856) 384-3211,-75.091845,39.843152
"Walmart Supercenter - Woodbury,",#5476,820 Cooper St,Woodbury,NJ,08096,(856) 686-0133,-75.128328,39.832064
"Wm Nbrhd Mkt - Alameda,",#3317,8511 Golf Course Rd NW,Alameda,NM,87114,(505) 792-3676,-106.689155,35.18051
"Wm Nbrhd Mkt - Albuquerque,",#5675,11001 Menaul Blvd NE,Albuquerque,NM,87112,(505) 200-3435,-106.518056,35.109291
"Wm Nbrhd Mkt - Albuquerque,",#2451,4700 Cutler Ave NE,Albuquerque,NM,87110,(505) 346-0702,-106.591989,35.105555
"Wm Nbrhd Mkt - Albuquerque ,",#3385,9600 Sage Rd Sw,Albuquerque,NM,87121,(505) 831-3618,-106.739451,35.055294
"Walmart Supercenter - Bernalillo ,",#3731,460 Nm Hwy #528,Bernalillo,NM,87004,(505) 771-4867,-106.572982,35.320021
"Walmart Supercenter - Farmington,",#3428,1400 West Main St,Farmington,NM,87401,(505) 327-1243,-108.227519,36.732298
"Walmart Supercenter - Rio Rancho (W),",#3732,901 Uniser Blvd Southeast,Rio Rancho,NM,87124,(505) 962-9227,-106.69827,35.243272
"Walmart Supercenter - Gardnerville,",#5864,1511 Grant Ave,Gardnerville,NV,89410,(775) 552-3436,-119.721434,38.923434
"Wm Nbrhd Mkt - Las Vegas ,",#3655,10440 West Cheyenne Ave,Las Vegas,NV,89129,(702) 233-9520,-115.324326,36.219979
"Wm Nbrhd Mkt - Las Vegas ,",#5269,490 East Silverado Ranch Blvd,Las Vegas,NV,89123,(702) 263-7550,-115.608,36.014057
"Walmart Supercenter - Las Vegas (Boulder) ,",#3350,5198 Boulder Hwy,Las Vegas,NV,89122,(702) 434-5595,-115.062625,36.109256
"Wm Nbrhd Mkt - Las Vegas ,",#5258,5850 W Craig Rd,Las Vegas,NV,89130,(702) 395-1222,-115.223929,36.23998
"Walmart Supercenter - Las Vegas (SE),",#1560,6005 Eastern Ave,Las Vegas,NV,89119,(702) 451-8900,-115.121077,36.080416
"Wm Nbrhd Mkt - Las Vegas ,",#5259,6151 West Lake Mead Blvd,Las Vegas,NV,89108,(702) 631-1962,-115.225609,36.194921
"Wm Nbrhd Mkt - Las Vegas (T. Pines) ,",#3788,6310 West Charleston Blvd,Las Vegas,NV,89146,(702) 870-1220,-115.231887,36.159764
"Walmart Supercenter - Las Vegas,",#3351,6464 North Decatur Blvd,Las Vegas,NV,89131,(702) 515-7050,-115.204382,36.278266
"Wm Nbrhd Mkt - Las Vegas (Hollywood) ,",#5423,6570 East Lake Mead Blvd,Las Vegas,NV,89156,(702) 437-3590,-115.029474,36.196449
"Walmart Supercenter - Las Vegas,",#4356,7200 Arroyo Cross Pkwy,Las Vegas,NV,89113,(702) 270-6003,-115.248846,36.064002
"Wm Nbrhd Mkt - Las Vegas (Warm Springs) ,",#3356,7445 South Eastern Ave,Las Vegas,NV,89123,(702) 614-8122,-115.118757,36.054229
"Walmart Supercenter - North Las Vegas,",#3728,3950 West Lake Mead Blvd,North Las Vegas,NV,89032,(702) 631-0421,-115.19031,36.200819
"Wm Nbrhd Mkt - North Las Vegas ,",#5306,5545 Simmons St,North Las Vegas,NV,89031,(702) 646-5759,-115.181047,36.260339
"Wm Nbrhd Mkt - North Las Vegas ,",#4339,5940 Losee Rd,North Las Vegas,NV,89081,(702) 639-1202,-115.115972,36.267557
"Walmart Supercenter - Reno ,",#2106,2425 E 2nd,Reno,NV,89502,(775) 359-8200,-119.782803,39.528898
"Walmart Supercenter - Reno,",#4239,250 Vista Knoll Pkwy,Reno,NV,89506,(775) 332-0308,-119.854097,39.616261
"Walmart Supercenter - Albion,",#3607,13858 Route 31 West,Albion,NY,14411,(585) 589-0608,-78.225942,43.234855
"Walmart Supercenter - Brockport,",#1993,6265 Brockport Spencerport Rd,Brockport,NY,14420,(585) 637-6331,-77.928885,43.197127
"Walmart Supercenter - Camillus,",#2581,5399 W Genesee St,Camillus,NY,13031,(315) 487-0121,-76.272273,43.038795
"Walmart - Farmingdale (Long Island),",#5295,965 BRdhollow Rd,Farmingdale,NY,11735,(631) 752-8768,-73.420559,40.727124
"Walmart Supercenter - Fulton,",#3332,1818 State Rte 3,Fulton,NY,13069,(315) 598-1773,-76.446719,43.323679
"Walmart Supercenter - Gloversville,",#1806,329 S Kingsboro Ave Ext,Gloversville,NY,12078,(518) 725-2403,-74.322693,43.06088
"Walmart Supercenter - Greece,",#5282,3800 Dewey Ave,Greece,NY,14616,(585) 957-7382 (NOP),-77.645557,43.239857
"Walmart Supercenter - Johnson City,",#5732,2 Gannett Dr,Johnson City,NY,13790,(607)240-5040,-75.948087,42.115793
"Walmart Supercenter - Lancaster,",#5027,4975 Transit Rd,Lancaster,NY,14086,(716)206-3050,-78.69512,42.882592
"Walmart Supercenter - Macedon,",#3842,425 Route 31,Macedon,NY,14502,(315) 986-1584,-77.357913,43.065546
"Walmart Supercenter - Malone,",#3334,3222 State Route 11,Malone,NY,12953,(518) 483-5968,-74.321062,44.846558
"Walmart - Napanoch,",#4570,7500 Rte 209,Napanoch,NY,12458,(845) 647-2671,-74.371235,41.74154
"Walmart Supercenter - North Tonawanda,",#4597,866 Niagara Falls Blvd,North Tonawanda,NY,14120,(716) 243-4138,-78.840974,43.059502
"Walmart Supercenter - Potsdam,",#3329,7494 Us Hwy 11,Potsdam,NY,13676,(315) 268-6900,-75.027163,44.662492
"Walmart Supercenter - Queensbury ,",#4403,24 Quaker Ridge Blvd,Queensbury,NY,12804,(518) 746-4155,-73.613165,43.31917
"Walmart Supercenter - Waterloo ,",#1705,1860 N Rd,Waterloo,NY,13165,(315) 539-2560,-76.843359,42.908265
"Walmart Supercenter - Chardon,",#3293,223 Meadowland Dr,Chardon,OH,44024,(440) 286-2250,-81.225133,41.586155
"Walmart Supercenter - Fairfax,",#2250,4000 Red Bank Rd,Cincinnati,OH,45227,(513) 351-9818,-84.402411,39.147746
"Walmart Supercenter - Cincinnati ,",#1521,8451 Colerain Ave,Cincinnati,OH,45239,(513) 245-9458,-84.588525,39.224298
"Walmart Supercenter - Columbus,",#3812,2700 Bethel Rd,Columbus,OH,43220,(614) 326-0083,-83.089938,40.066222
"Walmart Supercenter - Cortland,",#2197,2016 Millenium Blvd,Cortland,OH,44410,(330) 372-1772,-80.773468,41.274452
"Walmart Supercenter - Defiance,",#5385,1804 North Clinton St,Defiance,OH,43512,(419) 784-2390,-84.362183,41.304816
"Walmart Supercenter - Elyria,",#4255,1000 Chestnut Commons Blvd,Elyria,OH,44035,(440) 365-0135,-82.067209,41.349857
"Walmart Supercenter - Hamilton , Gas/Diesel,",#3502,3201 Princeton Rd,Hamilton,OH,45011,(513) 869-8400,-84.507807,39.388679
"Walmart Supercenter - Lancaster,",#3792,2687 North Memorial Dr,Lancaster,OH,43130,(740) 687-0323,-82.641257,39.740484
"Walmart Supercenter - Lewis Center,",#2725,8659 Columbus Pike,Lewis Center,OH,43035,(740) 657-1341,-83.017184,40.165121
"Walmart Supercenter - Marysville , Gas/Diesel,",#1595,555 Colemans Crossing Blvd,Marysville,OH,43040,(937) 644-2800,-83.344502,40.231133
"Walmart Supercenter - Oberlin , Gas/Diesel,",#5309,46440 Us Route 20,Oberlin,OH,44074,(440) 774-6720,-82.222025,41.266461
"Walmart Supercenter - South Euclid,",#2362,1868 Warrensville Center Rd,South Euclid,OH,44121,(216) 382-1657,-81.540336,41.510437
"Walmart Supercenter - Springfield,",#2429,2100 North Bechtle Ave,Springfield,OH,45504,(937) 399-0370,-83.828755,39.951655
"Walmart Supercenter - Upper Sandusky,",#3809,1855 E Wyandot Ave,Upper Sandusky,OH,43351,(419) 294-3404,-83.232698,40.835457
"Walmart Supercenter - Washington Court House , Gas/Diesel,",#3251,1397 Leesburg Ave,Washington Court House,OH,43160,(740) 333-3171,-83.45701,39.52378
"Walmart - Westerville,",#5857,50 E Schrock Rd; I-270 Exit s9,Westerville,OH,43081,(614) 948-4402,-82.923695,40.110603
"Walmart Supercenter - Whitehall , Gas/Diesel,",#3447,3657 East Main,Whitehall,OH,43213,(614) 239-7509,-82.899636,39.95469
"Wm Nbrhd Mkt - Broken Arrow (N) , Gas/Diesel,",#3508,1770 S Elm Place,Broken Arrow,OK,74012,(918) 258-6175,-95.798512,36.033291
"Walmart Supercenter - Broken Arrow,",#4637,3900 E Hillside Dr,Broken Arrow,OK,74014,(918) 355-1024,-95.742116,36.065301
"Wm Nbrhd Mkt - Edmond ,",#2876,1301 East 2nd St.,Edmond,OK,73034,(405) 715-2587,-97.463459,35.653521
"Walmart Supercenter - Glenpool,",#4615,12200 S Waco Ave,Glenpool,OK,74033,(918) 299-8030,-96.013671,35.985038
"Wm Nbrhd Mkt - Moore ,",#2393,640 S.e. 4th St,Moore,OK,73160,(405) 794-2724,-97.478119,35.333549
"Wm Nbrhd Mkt - Norman,",#5805,3572 W Rock Creek,Norman,OK,73069,(405) 515-7283,-97.488976,35.248887
"Wm Nbrhd Mkt - Oklahoma City (NW) ,",#2877,11101 North Rockwell Ave.,Oklahoma City,OK,73162,(405) 773-3555,-97.639332,35.582433
"Wm Nbrhd Mkt - Oklahoma City ,",#2394,1500 S.w. 59th St.,Oklahoma City,OK,73119,(405) 684-9761,-97.54405,35.406063
"Walmart Supercenter - Oklahoma City,",#1626,2000 W Memorial Rd,Oklahoma City,OK,73134,(405) 752-1900,-97.546818,35.605434
