storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode,Store Name,number,streetaddr1,strcity1,strstate1,zipcode1,phone-number,Longitude,Latitude
1553,1991-01-30,NA,NA,17,043,314 WEST ARMY TRAIL ROAD,Bloomingdale,IL,Wal-Mart,IL,Midwest,Illinois,60108,"Walmart Supercenter - Bloomingdale ,",#1553,314 West Army Trail Rd,Bloomingdale,IL,60108,(630) 893-5000,-88.102375,41.937165
1554,1991-01-30,2004-10-27,1,06,077,3223 EAST HAMMER LANE,Stockton,CA,Supercenter,CA,West,California,95212,"Walmart Supercenter - Stockton ,",#1554,3223 East Hammer Lane,Stockton,CA,95212,(209) 473-2796,-121.273533,38.022432
1555,1990-12-03,2006-01-27,1,06,025,2150 NO. WATERMAN AVENUE,El Centro,CA,Supercenter,CA,West,California,92243,"Walmart Supercenter - El Centro,",#1555,2150 N Waterman Ave,El Centro,CA,92243,(760) 337-1600,-115.575783,32.813368
1556,1991-10-01,NA,NA,17,031,9265 WEST 159TH STREET,Orland Hills,IL,Wal-Mart,IL,Midwest,Illinois,60477,"Walmart Supercenter - Orland Hills,",#1556,9245 159th St,Orland Hills,IL,60477,(708) 349-4300,-87.845388,41.600054
1557,1990-12-03,2003-04-23,1,18,057,8300 EAST 96TH ST,Fishers,IN,Supercenter,IN,Midwest,Indiana,46038,"Walmart Supercenter - Fishers, Gas/Diesel,",#1557,8300 E 96th St,Fishers,IN,46038,(317) 578-4336,-86.021031,39.928686
1558,1990-12-31,2005-07-20,1,37,157,304 E ARBOR LANE,Eden,NC,Supercenter,NC,South,North Carolina,27288,"Walmart Supercenter - Eden , Gas/Diesel,",#1558,304 E Arbor Lane,Eden,NC,27288,(336) 623-8981,-79.735379,36.488436
1559,1990-10-29,NA,NA,32,003,201 NORTH NELLIS BLVD,Las Vegas,NV,Wal-Mart,NV,West,Nevada,89110,"Walmart - Las Vegas (NE),",#1559,201 North Nellis Blvd,Las Vegas,NV,89110,(702) 452-9998,-115.062422,36.164215
1560,1991-01-30,NA,NA,32,003,3075 EAST TROPICANA AVENUE,Las Vegas,NV,Wal-Mart,NV,West,Nevada,89121,"Walmart Supercenter - Las Vegas,",#4557,3075 East Tropicana,Las Vegas,NV,89121,(702) 433-4267,-115.107764,36.098683
1561,1991-12-31,NA,NA,47,157,3950 AUSTIN PEAY HIGHWAY,Memphis,TN,Wal-Mart,TN,South,Tennessee,38128,"Walmart Supercenter - Memphis,",#1561,3950 Austin Peay Hwy,Memphis,TN,38128,(901) 377-1211,-89.894986,35.232899
1562,1990-11-14,NA,NA,27,003,13020 RIVERDALE DRIVE,Coon Rapids,MN,Wal-Mart,MN,Midwest,Minnesota,55448,"Walmart - Coon Rapids,",#1562,13020 Riverdale Dr,Coon Rapids,MN,55448,(763) 421-2622,-93.360804,45.207374
1563,1990-08-01,NA,NA,06,037,44765 VALLEY CENTRAL WAY,Lancaster,CA,Wal-Mart,CA,West,California,93536,"Walmart Supercenter - Lancaster,",#1563,44665 Valley Central Way,Lancaster,CA,93534,(661) 940-8744,-118.172776,34.69371
1564,1990-08-01,NA,NA,39,145,4000 RHODES AVENUE,New Boston,OH,Wal-Mart,OH,Midwest,Ohio,45662,"Walmart Supercenter - New Boston,",#1564,4490 Gallia St,New Boston,OH,45662,(740) 456-8257,-82.92364,38.75329
1565,1990-12-03,NA,NA,38,105,120 26TH ST EAST,Williston,ND,Wal-Mart,ND,Midwest,North Dakota,58801,"Walmart Supercenter - Williston ,",#1565,4001 2nd Ave West,Williston,ND,58801,(701) 572-8550,-103.628759,48.181789
1566,1990-10-29,NA,NA,18,039,4024 ELKHARD ROAD/SUITE 2,Goshen,IN,Wal-Mart,IN,Midwest,Indiana,46526,"Walmart - Goshen,",#1566,4024 Elkhard Rd/suite 2,Goshen,IN,46526,(574) 875-6601,-85.899746,41.618877
1567,1990-11-14,NA,NA,38,089,2003 THIRD AVENUE WEST,Dickinson,ND,Wal-Mart,ND,Midwest,North Dakota,58601,"Walmart Supercenter - Dickinson,",#1567,2456 3rd Ave W,Dickinson,ND,58601,(701) 225-8504,-102.787133,46.907411
1568,1991-11-05,2005-10-26,1,42,085,1275 NO. HERMITAGE ROAD,Hermitage,PA,Supercenter,PA,Northern,Pennsylvania,16148,"Walmart Supercenter - Hermitage,",#1568,1275 N Hermitage Rd,Hermitage,PA,16148,(724) 346-5940,-80.451653,41.24976
1569,1991-01-30,2003-08-20,1,21,161,240 WAL-MART WAY,Maysville,KY,Supercenter,KY,South,Kentucky,41056,"Walmart Supercenter - Maysville, Gas/Diesel,",#1569,240 Wal-mart Way,Maysville,KY,41056,(606) 759-5040,-83.786733,38.621619
1570,1991-01-30,1999-03-01,1,18,033,505 TOURING DRIVE,Auburn,IN,Supercenter,IN,Midwest,Indiana,46706,"Walmart Supercenter - Auburn ,",#1570,505 Touring Dr,Auburn,IN,46706,(260) 925-8080,-85.080194,41.363336
1571,1990-12-31,2005-08-24,1,55,133,250 EAST WOLF RUN,Mukwonago,WI,Supercenter,WI,Midwest,Wisconsin,53149,"Walmart Supercenter - Mukwonago,",#1571,250 East Wolf Run,Mukwonago,WI,53149,(262) 363-7500,-88.313983,42.853547
1572,1990-12-03,2004-03-01,1,49,047,1851 WEST HWY 40,Vernal,UT,Supercenter,UT,West,Utah,84078,"Walmart Supercenter - Vernal ,",#1572,1851 West Hwy 40,Vernal,UT,84078,(435) 789-9784,-109.564031,40.438738
1573,1990-12-31,2002-04-17,1,49,007,255 SOUTH HIGHWAY 55,Price,UT,Supercenter,UT,West,Utah,84501,"Walmart Supercenter - Price,",#1573,255 S Hwy 55,Price,UT,84501,(435) 637-6712,-110.789621,39.596304
1574,1991-01-30,NA,NA,06,029,2300 WHITE LANE,Bakersfield,CA,Wal-Mart,CA,West,California,93304,"Walmart Supercenter - Bakersfield,",#1624,2601 Fashion Place,Bakersfield,CA,93306,(661) 873-7120,-118.96062,35.392429
1575,1991-01-30,NA,NA,06,007,355 ORO DAM BLVD,Oroville,CA,Wal-Mart,CA,West,California,95965,"Walmart - Oroville,",#1575,355 Oro Dam Blvd,Oroville,CA,95965,(530) 534-1082,-121.573334,39.497327
1576,1991-01-30,NA,NA,18,089,1555 US HIGHWAY 41,Schererville,IN,Wal-Mart,IN,Midwest,Indiana,46375,"Walmart - Schererville,",#1576,1555 Us Hwy 41,Schererville,IN,46375,(219) 865-6309,-87.46832,41.4925
1577,1990-12-31,2004-09-01,1,27,171,1315 HWY 25 NORTH,Buffalo,MN,Supercenter,MN,Midwest,Minnesota,55313,"Walmart Supercenter - Buffalo , Gas/Diesel,",#1577,1315 Hwy 25 N,Buffalo,MN,55313,(763) 682-2958,-93.877523,45.189964
1578,1990-09-04,2000-03-01,1,13,121,970 MANSELL ROAD,Roswell,GA,Supercenter,GA,South,Georgia,30076,"Walmart Supercenter - Roswell,",#1578,970 Mansell Rd,Roswell,GA,30076,(770) 993-0533,-84.333305,34.044265
1579,1991-01-30,NA,NA,37,077,714 GRANVILLE CORNERS,Oxford,NC,Wal-Mart,NC,South,North Carolina,27565,"Walmart Supercenter - Oxford,",#1579,1015 Lewis St,Oxford,NC,27565,(919) 693-2900,-78.606407,36.280938
1580,1991-10-01,2000-03-01,1,18,097,10617 E. WASHINGTON,Indianapolis,IN,Supercenter,IN,Midwest,Indiana,46229,"Walmart Supercenter - Indianapolis,",#1580,10617 E Washington St,Indianapolis,IN,46229,(317) 895-0065,-85.97661,39.774486
1581,1990-12-03,2005-05-25,1,38,017,4731 13TH AVENUE SOUTHWEST,Fargo,ND,Supercenter,ND,Midwest,North Dakota,58103,"Walmart Supercenter - Fargo,",#1581,4731 13th Ave S,Fargo,ND,58103,(701) 281-3971,-96.865509,46.863867
1583,1991-01-30,NA,NA,06,039,1977 WEST CLEVELAND AVE,Madera,CA,Wal-Mart,CA,West,California,93637,"Walmart - Madera,",#1583,1977 Cleveland Ave,Madera,CA,93637,(559) 675-9212,-120.082287,36.975477
1584,1991-01-30,NA,NA,32,003,3625 SOUTH RAINBOW BLVD,Las Vegas,NV,Wal-Mart,NV,West,Nevada,89103,"Walmart Supercenter - Las Vegas,",#1584,3615 S Rainbow Blvd,Las Vegas,NV,89103,(702) 367-9999,-115.245688,36.12376
1585,1990-12-31,2000-03-01,1,31,111,1401 SOUTH DEWEY ST.,North Platte,NE,Supercenter,NE,Midwest,Nebraska,69101,"Walmart Supercenter - North Platte ,",#1585,1401 S Dewey St,North Platte,NE,69101,(308) 532-5529,-100.759107,41.120923
1586,1990-10-29,1999-03-01,1,13,067,1133 EW CONNECTOR SW,Austell,GA,Supercenter,GA,South,Georgia,30106,"Walmart Supercenter - Austell,",#1586,1133 E West Connector Sw,Austell,GA,30106,(770) 863-9300,-84.5858,33.8567
1587,1990-10-29,NA,NA,06,099,2225 PLAZA PARKWAY,Modesto,CA,Wal-Mart,CA,West,California,95350,"Walmart - Modesto ,",#1587,2225 Plaza Pkwy,Modesto,CA,95350,(209) 524-4733,-121.036889,37.672584
1588,1991-01-30,NA,NA,06,071,15272 BEAR VALLEY ROAD,Victorville,CA,Wal-Mart,CA,West,California,92392,"Walmart Supercenter - Victorville,",#4932,12234 Palmdale Rd,Victorville,CA,92392,(760) 493-3047,-117.388449,34.505972
1589,1991-01-30,NA,NA,12,099,16205 SOUTH MILITARY DRIVE,Delray Beach,FL,Wal-Mart,FL,South,Florida,33484,"Walmart Supercenter - Delray Beach , Gas/Diesel,",#1589,16205 South Military Dr,Delray Beach,FL,33484,(561) 495-8127,-80.123613,26.436357
1590,1992-03-03,2004-09-15,1,12,086,5851 N.W. 177TH ST.,Hialeah,FL,Supercenter,FL,South,Florida,33015,"Walmart Supercenter - Hialeah , Gas/Diesel,",#1590,5851 NW 177th St.,Hialeah,FL,33015,(305) 558-6069,-80.295889,25.934769
1591,1991-11-05,2003-07-02,1,42,043,6535 GRAYSON ROAD,Harrisburg,PA,Supercenter,PA,Northern,Pennsylvania,17111,"Walmart Supercenter - Harrisburg (E) ,",#1591,6535 Grayson Rd,Harrisburg,PA,17111,(717) 561-8402,-76.772692,40.260753
1592,1991-01-30,2003-09-17,1,26,063,901 NORTH VAN DYKE,Bad Axe,MI,Supercenter,MI,Midwest,Michigan,48413,"Walmart Supercenter - Bad Axe,",#1592,901 North Van Dyke,Bad Axe,MI,48413,(989) 269-9506,-83.002899,43.820326
1593,1990-12-31,2000-03-01,1,26,023,800 EAST CHICAGO ST.,Coldwater,MI,Supercenter,MI,Midwest,Michigan,49036,"Walmart Supercenter - Coldwater,",#1593,800 East Chicago St,Coldwater,MI,49036,(517) 278-2240,-84.967238,41.934558
1594,1991-01-30,NA,NA,39,089,911 HEBRON ROAD,Heath,OH,Wal-Mart,OH,Midwest,Ohio,43056,"Walmart Supercenter - Heath,",#1594,911 Hebron Rd,Heath,OH,43056,(740) 522-5841,-82.450739,40.028273
1596,1990-12-03,NA,NA,17,197,200 SOUTH BOLINGBROOK DRIVE,Bolingbrook,IL,Wal-Mart,IL,Midwest,Illinois,60440,"Walmart Supercenter - Bolingbrook ,",#1596,200 South Bolingbrook Dr,Bolingbrook,IL,60440,(630) 739-4800,-88.066072,41.695712
1597,1990-09-04,NA,NA,40,143,8739 SOUTH MEMORIAL,Tulsa,OK,Wal-Mart,OK,South,Oklahoma,74133,"Walmart Supercenter - Tulsa,",#0894,6625 S. Memorial Dr,Tulsa,OK,74133,(918) 294-3800,-95.883852,36.066771
1598,1991-04-02,NA,NA,04,013,4617 EAST BELL ROAD,Phoenix,AZ,Wal-Mart,AZ,West,Arizona,85032,"Walmart Supercenter - Phoenix ,",#1598,4617 East Bell Rd,Phoenix,AZ,85032,(602) 482-7575,-111.981129,33.639444
1599,1991-02-27,NA,NA,20,091,11701 METCALF,Overland Park,KS,Wal-Mart,KS,Midwest,Kansas,66210,"Walmart Supercenter - Overland Park,",#1599,11701 Metcalf,Overland Park,KS,66210,(913) 338-2202,-94.664816,38.914831
1600,1991-01-30,NA,NA,06,029,911 SOUTH CHINA LAKE BLVD,Ridgecrest,CA,Wal-Mart,CA,West,California,93555,"Walmart - Ridgecrest,",#1600,911 South China Lake Blvd,Ridgecrest,CA,93555,(760) 371-4974,-117.672726,35.606524
1601,1991-01-30,NA,NA,18,057,2001 EAST 151 STREET,Carmel,IN,Wal-Mart,IN,Midwest,Indiana,46032,"Walmart Supercenter - Carmel,",#1601,2001 East 151 St,Carmel,IN,46032,(317) 844-0096,-86.12468,40.006466
1602,1991-01-30,NA,NA,17,167,3401 FREEDOM DRIVE,Springfield,IL,Wal-Mart,IL,Midwest,Illinois,62704,"Walmart Supercenter - Springfield,",#1602,3401 Freedom Dr,Springfield,IL,62704,(217) 793-3310,-89.709309,39.75226
1603,1990-12-31,NA,NA,45,023,1841 SUITE A 72 COCHRAN BYPASS,Chester,SC,Wal-Mart,SC,South,South Carolina,29706,"Walmart Supercenter - Chester,",#1603,1691 J A Cochran Byp,Chester,SC,29706,(803) 581-6278,-81.192012,34.699452
1604,1991-01-30,2002-03-01,1,46,103,1200 LACROSSE,Rapid City,SD,Supercenter,SD,Midwest,South Dakota,57701,"Walmart Supercenter - Rapid City, Gas,",#1604,1200 Lacrosse,Rapid City,SD,57701,(605) 342-9444,-103.199068,44.097825
1605,1990-10-01,1998-03-01,1,12,033,4600 MOBILE HWY/SUITE 122,Pensacola,FL,Supercenter,FL,South,Florida,32506,"Walmart Supercenter - Pensacola,",#1605,4600 Mobile Hwy,Pensacola,FL,32506,(850) 455-4320,-87.277711,30.437667
1606,1990-11-14,2004-03-01,1,47,065,5764 HWY 153,Chattanooga,TN,Supercenter,TN,South,Tennessee,37343,"Walmart Supercenter - Hixon , Gas/Diesel,",#1606,5764 Hwy 153,Hixson,TN,37343,(423) 870-1680,-85.24629,35.153186
1607,1991-07-02,1997-03-01,1,42,087,10180 US HWY 522 SOUTH,Lewiston,PA,Supercenter,PA,Northern,Pennsylvania,17044,"Walmart Supercenter - Lewistown,",#1607,10180 Us Hwy 522 South,Lewistown,PA,17044,(717) 242-6201,-77.612041,40.582314
1608,1991-01-30,NA,NA,06,103,1025 SOUTH MAIN,Red Bluff,CA,Wal-Mart,CA,West,California,96080,"Walmart - Red Bluff,",#1608,1025 South Main,Red Bluff,CA,96080,(530) 529-5540,-122.23092,40.162207
1609,1991-01-30,NA,NA,27,061,1400 SOUTH POKEGAMA AVENUE,Grand Rapids,MN,Wal-Mart,MN,Midwest,Minnesota,55744,"Walmart Supercenter - Grand Rapids,",#1609,100 Se 29th St,Grand Rapids,MN,55744,(218) 326-9682,-93.527649,47.201696
1610,1991-07-02,NA,NA,36,055,100 ELM RIDGE CENTER DR,Greece,NY,Wal-Mart,NY,Northern,New York,14626,"Walmart - Greece,",#1610,100 Elm Ridge Center Dr,Greece,NY,14626,(585) 227-0720,-77.725081,43.214631
1611,1991-06-04,NA,NA,26,147,4475 24TH AVENUE,Port Huron,MI,Wal-Mart,MI,Midwest,Michigan,48059,"Walmart Supercenter - Fort Gratiot  , Gas/Diesel,",#1611,4845 24th Ave,Fort Gratiot,MI,48059,(810) 385-7600,-82.459516,43.049068
1612,1991-11-05,2000-03-01,1,04,019,1650 WEST VALENCIA,Tucson,AZ,Supercenter,AZ,West,Arizona,85746,"Walmart Supercenter - Tucson (S) ,",#1612,1650 W Valencia Rd,Tucson,AZ,85746,(520) 573-3777,-111.00071,32.135508
1613,1991-09-11,NA,NA,37,081,2710 NORTH MAIN STREET,High Point,NC,Wal-Mart,NC,South,North Carolina,27265,"Walmart Supercenter - High Point,",#4477,2710 N Main St,High Point,NC,27265,(336) 869-7638,-80.029364,35.994467
1614,1990-12-31,NA,NA,37,063,3500 ROXBORO ROAD,Durham,NC,Wal-Mart,NC,South,North Carolina,27704,"Walmart Supercenter - Arden,",#1179,60 Airport Rd,Arden,NC,28704,(828) 684-6568,-82.522592,35.455823
1615,1991-07-31,NA,NA,06,013,2203 LOVERIDGE ROAD,Pittsburg,CA,Wal-Mart,CA,West,California,94565,"Walmart - Pittsburg,",#1615,2203 Loveridge Rd,Pittsburg,CA,94565,(925) 427-2022,-121.868986,38.009054
1616,1991-11-05,NA,NA,06,035,2900 MAIN STREET,Susanville,CA,Wal-Mart,CA,West,California,96130,"Walmart - Susanville,",#1616,2900 Main St,Susanville,CA,96130,(530) 251-2000,-120.636676,40.408566
1617,1991-12-31,2000-03-01,1,56,025,4400 EAST 2ND STREET,Casper,WY,Supercenter,WY,West,Wyoming,82609,"Walmart Supercenter - Casper ,",#1617,4400 E 2nd St,Casper,WY,82609,(307) 237-0991,-106.266926,42.850514
1618,1991-09-11,2004-04-21,1,18,089,2936 EAST 79TH AVENUE,Merrillville,IN,Supercenter,IN,Midwest,Indiana,46410,"Walmart Supercenter - Merrillville ,",#1618,2936 E 79th Ave,Merrillville,IN,46410,(219) 947-1309,-87.300467,41.473125
1619,1991-04-02,2005-03-23,1,36,055,1200 MARKETPLACE DRIVE,Henrietta,NY,Supercenter,NY,Northern,New York,14623,"Walmart Supercenter - Rochester (Henrietta),",#1619,1200 Marketplace Dr,Henrietta,NY,14623,(585) 292-6000,-77.62472,43.078319
1620,1990-11-14,NA,NA,01,053,2041 DOUGLAS AVENUE,Brewton,AL,Wal-Mart,AL,South,Alabama,36426,"Walmart Supercenter - Brewton,",#1620,2578 Douglas Ave,Brewton,AL,36426,(251) 867-4680,-87.071111,31.139671
1621,1991-01-30,NA,NA,19,007,1101 NORTH 18TH STREET,Centerville,IA,Wal-Mart,IA,Midwest,Iowa,52544,"Walmart Supercenter - Centerville,",#1621,23148 Hwy 5,Centerville,IA,52544,(641) 437-7181,-92.866993,40.708638
1622,1991-06-04,NA,NA,39,147,2300 WEST STATE ROUTE 18,Tiffin,OH,Wal-Mart,OH,Midwest,Ohio,44883,"Walmart Supercenter - Tiffin, Gas/Diesel,",#1622,2801 West State Route 18,Tiffin,OH,44883,(419) 448-4402,-83.222401,41.110998
1623,1992-02-04,2004-03-17,1,42,079,2150 WILKES BARRE TWNSP MKTPL,Wilkes-Barre,PA,Supercenter,PA,Northern,Pennsylvania,18702,"Walmart Supercenter - Wilke Barre,",#1623,2150 Wilkes Barre Twnsp Mktpl,Wilkes Barre,PA,18702,(570) 821-6180,-75.857832,41.237577
1624,1991-07-31,NA,NA,06,029,2601 FASHION PLACE,Bakersfield,CA,Wal-Mart,CA,West,California,93306,"Walmart Supercenter - Bakersfield,",#1624,2601 Fashion Place,Bakersfield,CA,93306,(661) 873-7120,-118.96062,35.392429
1625,1991-01-30,2003-03-19,1,19,149,1111 HOLTON DRIVE,Le Mars,IA,Supercenter,IA,Midwest,Iowa,51031,"Walmart Supercenter - Le Mars,",#1625,1111 Holton Dr,Le Mars,IA,51031,(712) 546-4900,-96.186676,42.7812
1626,1991-04-02,2001-06-20,1,40,109,2000 W MEMORIAL ROAD,The Village,OK,Supercenter,OK,South,Oklahoma,73134,"Wm Nbrhd Mkt - The Village,",#5286,9320 North Penn Ave,The Village,OK,73120,(405) 840-8435,-97.548042,35.565022
1627,1991-04-02,NA,NA,27,027,1711 HWY 10 WEST,Dilworth,MN,Wal-Mart,MN,Midwest,Minnesota,56529,"Walmart Supercenter - Dilworth,",#1627,415 34th St N,Dilworth,MN,56529,(218) 233-9822,-96.72388,46.881488
1628,1991-01-30,2003-07-02,1,39,043,5500 MILAN ROAD,Sandusky,OH,Supercenter,OH,Midwest,Ohio,44870,"Walmart Supercenter - Sandusky , Gas/Diesel,",#1628,5500 Milan Rd,Sandusky,OH,44870,(419) 627-8778,-82.656047,41.403864
1629,1991-04-02,NA,NA,18,021,2150 EAST NATIONAL AVENUE,Brazil,IN,Wal-Mart,IN,Midwest,Indiana,47834,"Walmart - Brazil,",#1629,2150 East National Ave,Brazil,IN,47834,(812) 443-0667,-87.100502,39.530882
1630,1992-02-04,NA,NA,06,093,1906 FORT JONES ROAD,Yreka,CA,Wal-Mart,CA,West,California,96097,"Walmart Supercenter - Yreka,",#1630,1906 Fort Jones Rd,Yreka,CA,96097,(530) 842-7330,-122.645351,41.698819
1631,1991-04-02,1997-03-01,1,51,650,1900 CUNNINGHAM DRIVE,Hampton,VA,Supercenter,VA,South,Virginia,23666,"Walmart Supercenter - Hampton ,",#1631,1900 Cunningham Dr,Hampton,VA,23666,(757) 826-6377,-76.379706,37.041559
1632,1991-04-02,NA,NA,27,041,515 50TH AVENUE WEST,Alexandria,MN,Wal-Mart,MN,Midwest,Minnesota,56308,"Walmart Supercenter - Alexandria,",#1632,4611 Hwy 29 So.,Alexandria,MN,56308,(320) 762-8945,-95.383591,45.848256
1633,1991-04-30,NA,NA,27,145,380 33RD AVENUE SOUTH,St. Cloud,MN,Wal-Mart,MN,Midwest,Minnesota,56301,"Walmart Supercenter - St Cloud,",#3088,3601 2nd St South,St Cloud,MN,56301,(320) 345-9810,-94.200949,45.55034
1634,1991-07-31,NA,NA,27,097,1800 1ST AVENUE NE,Little Falls,MN,Wal-Mart,MN,Midwest,Minnesota,56345,"Walmart Supercenter - Little Falls,",#1634,15091 18th St Ne,Little Falls,MN,56345,(320) 632-9268,-94.3359,45.9801
1635,1991-07-31,NA,NA,55,133,W226/SOUTH 1500 HWY 164,Waukesha,WI,Wal-Mart,WI,Midwest,Wisconsin,53186,"Walmart Supercenter - Waukesha ,",#1635,2000 S West Ave,Waukesha,WI,53186,(262) 521-1815,-88.237648,42.979326
1636,1991-04-02,NA,NA,38,101,1901 22ND AVENUE SW,Minot,ND,Wal-Mart,ND,Midwest,North Dakota,58701,"Walmart Supercenter - Minot,",#1636,3900 S BRdway,Minot,ND,58701,(701) 838-2176,-101.298646,48.195424
1637,1991-04-02,2004-01-28,1,31,055,6304 NORTH 99TH STREET,Omaha,NE,Supercenter,NE,Midwest,Nebraska,68122,"Walmart Supercenter - Omaha,",#1637,6304 N 99th St,Omaha,NE,68122,(402) 492-9344,-96.068139,41.316527
1638,1990-11-14,NA,NA,01,005,1252 SOUTH EUFAULA AVE,Eufaula,AL,Wal-Mart,AL,South,Alabama,36027,"Walmart Supercenter - Eufaula, Gas/Diesel,",#1638,3176 South Eufaula Ave,Eufaula,AL,36072,(334) 687-2218,-85.169277,31.843765
1639,1991-01-30,NA,NA,18,049,2100 PEACE TREE VILLAGE,Rochester,IN,Wal-Mart,IN,Midwest,Indiana,46975,"Walmart Supercenter - Rochester,",#1639,2395 Main St,Rochester,IN,46975,(574) 223-9481,-86.217546,41.049247
1640,1991-01-30,2002-05-22,1,42,027,1665 NORTH ATHERTON PLACE,State College,PA,Supercenter,PA,Northern,Pennsylvania,16803,"Walmart Supercenter - State College,",#1640,1665 N Atherton Place,State College,PA,16801,(814) 237-8401,-77.896676,40.809431
1641,1991-01-30,NA,NA,37,117,809 EAST BOULEVARD,Williamston,NC,Wal-Mart,NC,South,North Carolina,27892,"Walmart Supercenter - Williamston,",#1641,1529 Washington St,Williamston,NC,27892,(252) 792-9033,-77.0764531,35.834263
1642,1991-01-30,2002-03-01,1,26,045,1680 PACKARD HWY,Charlotte,MI,Supercenter,MI,Midwest,Michigan,48813,"Walmart Supercenter - Charlotte,",#1642,1680 Packard Hwy,Charlotte,MI,48813,(517) 543-0300,-84.804749,42.580227
1643,1991-09-11,2004-05-19,1,55,039,377 NORTH ROLLING MEADOWS DRIV,Fond Du Lac,WI,Supercenter,WI,Midwest,Wisconsin,54935,"Walmart Supercenter - Fond Du Lac,",#1643,377 North Rolling Meadows Dr,Fond Du Lac,WI,54935,(920) 921-6311,-88.484967,43.787627
1644,1991-12-31,NA,NA,42,119,7001 WEST BRANCH HWY,Lewisburg,PA,Wal-Mart,PA,Northern,Pennsylvania,17837,"Walmart Supercenter - Lewisburg,",#1644,120 Ajk Blvd,Lewisburg,PA,17837,(570) 522-8200,-76.879709,40.990791
1645,1991-07-02,NA,NA,06,031,1750 WEST LACEY BLVD.,Hanford,CA,Wal-Mart,CA,West,California,93230,"Walmart Supercenter - Hanford,",#1645,250 S 12th Ave,Hanford,CA,93230,(559) 583-6292,-119.675057,36.321698
1646,1991-07-31,2002-03-01,1,04,013,6131 EAST SOUTHERN AVE.,Mesa,AZ,Supercenter,AZ,West,Arizona,85206,"Walmart Supercenter - Mesa ,",#1646,6131 East Southern Ave.,Mesa,AZ,85206,(480) 830-3919,-111.698976,33.392574
1647,1991-04-02,2005-10-26,1,18,001,1700 SO. 13TH ST.,Decatur,IN,Supercenter,IN,Midwest,Indiana,46733,"Walmart Supercenter - Decatur, Gas/Diesel,",#1647,1700 South 13th St,Decatur,IN,46733,(260) 724-9990,-84.939336,40.80887
1648,1991-07-02,2002-08-14,1,32,005,3770 SOUTH HIGHWAY 395,Carson City,NV,Supercenter,NV,West,Nevada,89705,"Walmart Supercenter - Carson City,",#1648,3770 S Hwy 395,Carson City,NV,89705,(775) 267-2158,-119.776864,39.111564
1649,1991-04-02,NA,NA,38,093,921 25TH STREET SW,Jamestown,ND,Wal-Mart,ND,Midwest,North Dakota,58401,"Walmart Supercenter - Jamestown ,",#1649,921 25th St SW,Jamestown,ND,58401,(701) 252-6778,-98.721261,46.881863
1650,1991-01-30,NA,NA,55,089,825 EAST GREEN BAY AVENUE,Saukville,WI,Wal-Mart,WI,Midwest,Wisconsin,53080,"Walmart Supercenter - Saukville,",#1650,825 East Green Bay Ave,Saukville,WI,53080,(262) 284-9616,-87.923802,43.383684
1651,1991-10-01,NA,NA,06,095,5180 SONOMA BLVD,Vallejo,CA,Wal-Mart,CA,West,California,94589,"Wm Nbrhd Mkt - Vallejo,",#5609,501 Sereno Dr,Vallejo,CA,94589,(707) 653-1058,-122.254585,38.12674
1653,1991-07-31,NA,NA,54,041,110 BERLIN ROAD,Weston,WV,Wal-Mart,WV,South,West Virginia,26452,"Walmart Supercenter - Weston,",#1653,110 Berlin Rd,Weston,WV,26452,(304) 269-1549,-80.415491,39.01915
1654,1991-07-02,2005-01-26,1,27,035,7295 GLORY ROAD,Baxter,MN,Supercenter,MN,Midwest,Minnesota,56425,"Walmart Supercenter - Baxter,",#1654,7295 Glory Rd,Baxter,MN,56425,(218) 829-2220,-94.2493,46.3428
1655,1991-12-31,NA,NA,18,107,1601 US HWY 231 SOUTH,Crawfordsville,IN,Wal-Mart,IN,Midwest,Indiana,47933,"Walmart Supercenter - Crawfordsville, Gas/Diesel,",#1655,1835 South Washington St,Crawfordsville,IN,47933,(765) 362-5930,-86.90188,40.015512
1656,1991-10-01,1998-03-01,1,42,039,16086 CONNEAUT LAKE RD,Meadville,PA,Supercenter,PA,Northern,Pennsylvania,16335,"Walmart Supercenter - Meadville,",#1656,16086 Conneaut Lake Rd,Meadville,PA,16335,(814) 724-6267,-80.213464,41.621433
1657,1991-07-02,NA,NA,27,131,150 WESTERN AVENUE,Faribault,MN,Wal-Mart,MN,Midwest,Minnesota,55021,"Walmart Supercenter - Faribault,",#1657,150 Western Ave,Faribault,MN,55021,(507) 332-0232,-93.30467,44.289733
1658,1991-06-04,1996-03-01,1,13,189,2205 HARRISON ROAD SE,Thomson,GA,Supercenter,GA,South,Georgia,30824,"Walmart Supercenter - Thomson , Gas/Diesel,",#1658,2205 Harrison Rd,Thomson,GA,30824,(706) 595-5530,-82.500729,33.482353
1659,1991-07-02,2001-07-25,1,08,001,60 WEST BROMLEY LANE,Brighton,CO,Supercenter,CO,West,Colorado,80601,"Walmart Supercenter - Brighton ,",#1659,60 West Bromley Lane,Brighton,CO,80601,(303) 659-1560,-104.823576,39.970389
1660,1991-07-31,2004-03-01,1,06,037,40130 10TH ST. WEST,Palmdale,CA,Supercenter,CA,West,California,93551,"Walmart Supercenter - Palmdale,",#1660,40130 10th St. West,Palmdale,CA,93551,(661) 267-6496,-118.145604,34.611785
